frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
44,CoRoT-2260816065415.fits,2.583141803741455,781,6.153846153846154e-06,True,137707.6156131876
45,CoRoT-2260816065716.fits,2.6712489128112793,780,9.23076923076923e-06,True,141164.40327989127
46,CoRoT-2260816070015.fits,2.7409188747406006,685,6.153846153846154e-06,True,157727.04685972736
47,CoRoT-2260816070315.fits,2.7983975410461426,815,9.23076923076923e-06,True,161980.0650457983
48,CoRoT-2260816070615.fits,2.8124871253967285,654,0.0,True,162870.62047572713
49,CoRoT-2260816070916.fits,2.835228443145752,613,3.076923076923077e-06,True,163074.6250106586
50,CoRoT-2260816071216.fits,2.7194395065307617,1004,1.5384615384615384e-05,True,165576.65726472618
51,CoRoT-2260816071515.fits,2.735753297805786,818,9.23076923076923e-06,True,167074.64257143682
52,CoRoT-2260816071815.fits,2.822983741760254,786,1.2307692307692308e-05,True,160707.81436249224
53,CoRoT-2260816072115.fits,2.7405319213867188,879,1.2307692307692308e-05,True,164791.98055717177
54,CoRoT-2260816072416.fits,2.8135597705841064,772,9.23076923076923e-06,True,161071.99465397839
55,CoRoT-2260816072715.fits,2.7302491664886475,982,1.2307692307692308e-05,True,161735.75137778954
56,CoRoT-2260816073015.fits,2.72216534614563,959,1.2307692307692308e-05,True,163771.50405956985
57,CoRoT-2260816073316.fits,2.7637712955474854,761,9.23076923076923e-06,True,164497.87350675205
58,CoRoT-2260816073615.fits,2.7431063652038574,867,1.2307692307692308e-05,True,163243.03701680826
59,CoRoT-2260816073915.fits,2.7744626998901367,916,1.2307692307692308e-05,True,158874.26797491437
