source_id,ra,dec,g_mag
2188160188049945216,304.73186186472,58.39146059408,10.907453
2188521755576256256,305.69730655219,58.83976192922,10.920795
2188496501167198720,305.40325122601,58.71740023815,10.921597
2236725719728005248,303.78432031901,60.01326162816,10.922578
2236621953316454784,303.9628838702,59.3455569552,10.922619
2188571061800759552,304.60553851744,59.15493512647,10.929179
2188698055392817792,305.33981455938,59.57916091541,10.938732
2188628545643770496,306.19457325934,59.22389045683,10.94739
2188609269828869888,306.50156430711,58.99264463627,10.950811
2188288556031210112,305.95253821643,58.36283027746,10.953237
2236733759905863808,303.84358106772,60.16192664964,10.966748
2188598412151699456,305.06454263586,59.38423379526,10.967699
2236706753151171200,304.03313863621,59.78859891445,10.973837
2188723236782713472,306.43452839669,59.91532768957,10.98121
2236237330405385088,303.47630115857,58.94177197393,10.986906
2188108236124499712,305.05367174933,58.26951287029,10.990986
2236603536492524032,304.27511549485,59.08574131757,10.993941
2188726745772607744,306.4633809616,60.06541770039,10.997172
2188745025155928704,305.94949551814,60.16134812941,11.00996
2236775610066444416,304.8753868161,60.36360220065,11.015293
2188593636148931328,305.07545884451,59.25434660114,11.046859
2188498184791132928,305.54214713177,58.7355944712,11.048493
2236615424966350336,304.26969411717,59.36547458652,11.052425
2188312470409646336,306.47120333532,58.52698227373,11.054182
2236793511490642304,305.64019037207,60.58155379632,11.060116
2188454994605053568,307.04985100692,59.27006765906,11.067632
2188600027060330112,305.2655990578,59.32520859837,11.069045
2188289792983210624,305.88882810658,58.43125787834,11.084568
2188576559358992640,305.47557887336,59.11339515011,11.085452
2236247672687041280,303.59926665472,59.22462507251,11.090187
2236643050196265216,304.54578314851,59.54331846546,11.100876
2188690496250845440,306.11264489685,59.6484342691,11.101758
2188637066857512192,306.22934534526,59.4493084505,11.103377
2236802101425053056,305.16201550766,60.57094060743,11.104948
2188287353440507520,306.1395013624,58.39353175536,11.111116
2188177367918032896,304.13350665257,58.69470005745,11.114815
2236218432549210624,303.71250538192,58.73212472458,11.122085
2236823988574672768,304.71080835879,60.45160863357,11.12975
2236216061727466368,304.07809941339,58.72972606178,11.158394
2188175031455608832,304.0136989624,58.57087798044,11.163861
2236216233526155008,303.97951216384,58.73015203385,11.16623
2236649544187090560,304.79346332151,59.69140412839,11.169085
2236241144333412992,303.63138649568,59.04591774338,11.17263
2188417748647089536,306.79531813158,58.88737069394,11.176473
2188572436189126784,304.68306559955,59.18362508958,11.186053
2188730525343801728,306.3693738478,60.15494811375,11.186153
2236850960972782976,304.70432940894,60.56607256961,11.19151
2188170461611625344,304.08432150894,58.46896990218,11.202081
2236821514676740864,304.51005948997,60.3326361466,11.207804
2236219325902494976,303.69545080631,58.77270767579,11.215866
2188323912202504960,306.28248983814,58.69821659557,11.228876
2194753546959139840,306.23687822441,60.44973043484,11.229728
2188589616059645440,305.61332137031,59.39396138564,11.230948
2188410945419006464,307.15204788437,58.87859407212,11.232416
2188589616056627328,305.61354905419,59.39406928949,11.23371
2236294539370172672,303.52956095701,59.23287505451,11.235793
2188727364250704000,306.48799515032,60.1308953197,11.237851
2236310379209427584,303.03243701195,59.37624477644,11.241331
2188479286934848128,305.83310554268,58.49845806016,11.24335
2236779939393660928,305.63273271823,60.24831243642,11.246147
2188584771335682688,305.62614470373,59.24222559852,11.249336
2236236437048701184,303.30362424558,58.91184508234,11.254939
2236717507749727744,304.40684746101,60.07172074708,11.254968
2188154484332320128,304.68502570162,58.37941338082,11.257731
2188478187426581504,305.64956617759,58.44225071613,11.266859
2236659474151181824,304.12471798125,59.74998073432,11.273376
2236311169483408768,303.02388208198,59.39225454329,11.276122
2236622399992969472,303.79997606449,59.26980982701,11.279844
2188687575668512640,305.65867787416,59.61576797508,11.28153
2236704279249981696,303.45435500078,59.95651116433,11.285725
2236697098064402816,303.50914823472,59.73065956344,11.288041
2188466951793202816,307.27928256786,59.57861419682,11.290215
2236315189572892160,302.8840855456,59.49526009636,11.295573
2236920024047247104,303.4787791419,60.26007418474,11.301489
2194736985570153472,306.51468034975,60.30078218446,11.310787
2188181594166118144,304.45207195294,58.75000955444,11.310887
2188738977838648832,305.87423808786,60.11325361455,11.310979
2188711043374254720,305.39457348516,59.8565215705,11.323327
2194750110991835136,306.29187741159,60.37216183948,11.325455
2188570443324212608,304.59375215448,59.12315630976,11.325703
2236681395664077824,303.77511395691,59.63827187721,11.328918
2236221284407679616,303.71956946066,58.85355809249,11.338488
2236786261586559104,305.64924006306,60.32839423907,11.341599
2188580510727928960,305.27340522279,59.16606069521,11.3437
2236642466080804224,304.60719833605,59.56669362436,11.344146
2188496020130867200,305.4523645938,58.65522217472,11.363482
2188657029866215424,307.16326735601,59.75133147809,11.363739
2236603639575927936,304.33529113283,59.11618003493,11.371909
2236625797309028608,303.74316136324,59.39012424272,11.37513
2188663523856345344,306.49532782422,59.63754905211,11.376461
2236602093383306240,304.20634729207,59.05013310041,11.377097
2236631299165367552,303.90957752208,59.43804681664,11.377423
2188460560881762432,307.29258156846,59.39632740377,11.37848
2194756433182227456,306.15993696341,60.54190895138,11.390038
2188732724369474304,305.8855607116,59.95730004247,11.39078
2188545257635737344,304.80718753574,58.7738034692,11.391389
2236662463448707328,304.66606799338,59.76433685956,11.392335
2188705030419955968,305.38724771285,59.8043574737,11.398489
2188412319808533888,307.05422343964,58.94604000976,11.399209
2188642701854788224,306.29503190516,59.60309558757,11.406005
2236223208553152256,304.04519181544,58.82424037447,11.40797
2188171595481891072,304.2882333828,58.53385080957,11.419154
2236814294832677760,304.55880479642,60.22603788477,11.41924
2236881678578579584,302.93601003697,59.6927051959,11.421214
2236235371900211072,303.39065331976,58.87790561791,11.432908
2188473445782432768,305.33781345419,58.31349573456,11.43933
2188521686855810048,305.7053483977,58.84038273076,11.439541
2188650638954577792,306.86157508084,59.53127522493,11.449954
2188598824469444096,304.90716509847,59.36666925985,11.455182
2188500967933281664,305.42002422144,58.76409332732,11.457107
2188678332903968768,306.57145762497,59.97214549477,11.461294
2236681601822513152,303.90081260048,59.6125833753,11.464304
2188578380423971456,305.14992647832,59.08389613947,11.467222
2188463378380563456,307.46119377361,59.55192945465,11.471307
2236777156254871424,305.57993529942,60.19215977975,11.474075
