frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
40,TRES-5260820102715.fits,2.2431223392486572,66,0.0,True,18540.72058855885
41,TRES-5260820103015.fits,2.2144551277160645,183,0.0,True,56933.11350332436
42,TRES-5260820103315.fits,2.2070465087890625,260,0.0,True,90536.46714278801
43,TRES-5260820103616.fits,2.250723361968994,41,0.0,True,8816.873993376
44,TRES-5260820103915.fits,2.221311092376709,212,0.0,True,78613.28339372926
45,TRES-5260820104215.fits,2.211237907409668,276,0.0,True,106376.65904873135
46,TRES-5260820104516.fits,2.241452217102051,363,6.153846153846154e-06,True,153726.85987219683
47,TRES-5260820104815.fits,2.2176871299743652,377,3.076923076923077e-06,True,140940.18136903393
48,TRES-5260820105115.fits,2.2136740684509277,70,0.0,True,22194.55442786087
49,TRES-5260820105415.fits,2.2281601428985596,124,0.0,True,44985.48691707878
50,TRES-5260820105715.fits,2.250382423400879,27,0.0,True,5102.202498032586
51,TRES-5260820110016.fits,2.234856367111206,77,0.0,True,23503.353547336385
52,TRES-5260820110315.fits,2.247082233428955,261,0.0,True,103514.3256833514
53,TRES-5260820110615.fits,2.248546838760376,308,0.0,True,142189.0046725251
54,TRES-5260820110916.fits,2.218308448791504,185,0.0,True,69140.69478196009
55,TRES-5260820111216.fits,2.2271978855133057,258,1.2307692307692308e-05,True,112348.06697007829
56,TRES-5260820111516.fits,2.2338671684265137,290,7.384615384615384e-05,True,171559.06236372032
57,TRES-5260820111815.fits,2.246398448944092,354,8.307692307692307e-05,True,206245.69540264897
58,TRES-5260820112115.fits,2.2702558040618896,375,0.00010153846153846155,True,227787.2847404203
59,TRES-5260820112416.fits,2.263545513153076,367,9.23076923076923e-05,True,228365.23208031012
60,TRES-5260820112716.fits,2.2530367374420166,274,6.153846153846154e-05,True,150078.31444262867
61,TRES-5260820113015.fits,2.2715537548065186,516,0.00016923076923076923,True,351875.5349441574
62,TRES-5260820113316.fits,2.3279852867126465,378,0.00010153846153846155,True,230985.5525473568
63,TRES-5260820113615.fits,2.2819080352783203,358,0.00010461538461538461,True,239524.10249277612
64,TRES-5260820113915.fits,2.3098559379577637,440,0.0001476923076923077,True,296045.5753494082
65,TRES-5260820114216.fits,2.3473548889160156,405,0.00012307692307692307,True,270393.3667649855
66,TRES-5260820114515.fits,2.394426107406616,382,0.00012,True,256755.88453632803
