frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
34,WASP-10260808072116.fits,2.0880439281463623,16,0.0,True,1580.1520398004498
35,WASP-10260808072416.fits,2.0703213214874268,16,0.0,True,1484.4705983964866
36,WASP-10260808072715.fits,2.0810799598693848,17,0.0,True,1791.6320122556876
37,WASP-10260808073016.fits,2.028329849243164,21,0.0,True,1973.9840760408076
38,WASP-10260808073317.fits,2.026918649673462,15,0.0,True,1548.245123897358
39,WASP-10260808073615.fits,2.0243427753448486,16,0.0,True,1589.8129779268138
40,WASP-10260808073915.fits,2.026425361633301,19,0.0,True,1717.7805042306297
41,WASP-10260808074215.fits,2.015624761581421,22,0.0,True,1873.4544575363818
42,WASP-10260808074516.fits,2.0704727172851562,17,0.0,True,1708.2488678278878
43,WASP-10260808074815.fits,2.070941686630249,16,0.0,True,1585.2923990914742
44,WASP-10260808075115.fits,2.059955596923828,18,0.0,True,1574.4074795603744
45,WASP-10260808075416.fits,2.0060949325561523,20,0.0,True,6075.954054659211
46,WASP-10260808075716.fits,2.063584804534912,17,0.0,True,1635.3046047382286
47,WASP-10260808080015.fits,2.0903351306915283,15,0.0,True,1319.79172993536
48,WASP-10260808080315.fits,2.050166606903076,15,0.0,True,1341.6095141982426
49,WASP-10260808080616.fits,2.0751395225524902,72,0.0,True,43596.72422443343
50,WASP-10260808080916.fits,2.0533957481384277,67,0.0,True,49210.8905169493
51,WASP-10260808081215.fits,2.056426763534546,200,0.00010461538461538461,True,249668.13989066324
52,WASP-10260808081516.fits,2.0916545391082764,188,9.23076923076923e-05,True,238846.46491071788
53,WASP-10260808081816.fits,2.061349391937256,17,0.0,True,1623.5948649109419
54,WASP-10260808082115.fits,2.0372211933135986,16,0.0,True,1420.1683270087685
55,WASP-10260808082415.fits,2.09450626373291,75,0.0,True,72792.70922741455
56,WASP-10260808082715.fits,2.0934674739837646,136,4.615384615384615e-05,True,152620.66035239576
57,WASP-10260808083015.fits,2.084240674972534,148,5.2307692307692306e-05,True,194743.06892143723
58,WASP-10260808083316.fits,2.074531078338623,171,7.692307692307693e-05,True,212599.01709531568
59,WASP-10260808083615.fits,2.0874006748199463,195,0.00010153846153846155,True,267481.3571328468
60,WASP-10260808083916.fits,2.1111960411071777,201,7.076923076923076e-05,True,273722.48752806045
61,WASP-10260808084215.fits,2.1228280067443848,207,5.2307692307692306e-05,True,199329.6831240104
62,WASP-10260808084516.fits,2.0720880031585693,197,7.076923076923076e-05,True,216483.5472121802
63,WASP-10260808084815.fits,2.122898578643799,177,5.846153846153846e-05,True,173608.05540829475
64,WASP-10260808085115.fits,2.1676952838897705,109,9.23076923076923e-06,True,112813.05837225869
65,WASP-10260808085415.fits,2.123523473739624,120,3.692307692307692e-05,True,117111.89871089223
66,WASP-10260808085715.fits,2.0984156131744385,106,6.153846153846154e-06,True,108672.47505207414
67,WASP-10260808090016.fits,2.1129441261291504,165,6.153846153846154e-05,True,172956.46407750557
68,WASP-10260808090316.fits,2.099656581878662,165,6.153846153846154e-05,True,183007.83147907967
69,WASP-10260808090615.fits,2.1164612770080566,166,4.923076923076923e-05,True,163117.48815838358
70,WASP-10260808090917.fits,2.10931396484375,127,1.5384615384615384e-05,True,101687.90711536793
71,WASP-10260808091215.fits,2.1092190742492676,135,1.2307692307692308e-05,True,105332.75828359165
72,WASP-10260808091516.fits,2.1070289611816406,100,0.0,True,90112.6457123718
73,WASP-10260808091816.fits,2.111145496368408,190,3.384615384615385e-05,True,161756.3671189795
74,WASP-10260808092116.fits,2.078932523727417,199,4.615384615384615e-05,True,201119.68680300584
